,composer,measure,starttime,stoptime,duration,instrument,line,note,year,year_stop,year_x,,10,1,
81,Stravinsky,2,4,4.5,0.5,flute_b,middle,g,24,24.5,27.5,,,,
82,Stravinsky,3,1,1.5,0.5,flute_b,middle,f,31,31.5,30,,,,
83,Stravinsky,3,2,2.5,0.5,flute_b,middle,a,32,32.5,32.5,,,,
84,Stravinsky,3,3,3.5,0.5,flute_b,middle,g,33,33.5,35,,,,
85,Stravinsky,3,4,4.5,0.5,flute_b,middle,f,34,34.5,37.5,,,,
86,Stravinsky,4,1,1.5,0.5,flute_b,middle,e,41,41.5,40,,,,
87,Stravinsky,1,1.5,2,0.5,harp,bass,c,11.5,12,11.25,,,,
88,Stravinsky,1,2,2.5,0.5,harp,bass,e,12,12.5,12.5,,,,
89,Stravinsky,1,2.5,3,0.5,harp,bass,c,12.5,13,13.75,,,,
90,Stravinsky,1,3,3.5,0.5,harp,bass,g,13,13.5,15,,,,
91,Stravinsky,1,3.5,4,0.5,harp,bass,b,13.5,14,16.25,,,,
92,Stravinsky,1,4,4.5,0.5,harp,bass,c,14,14.5,17.5,,,,
93,Stravinsky,1,4.5,5,0.5,harp,bass,d,14.5,15,18.75,,,,
94,Stravinsky,2,1,1.5,0.5,harp,bass,g,21,21.5,20,,,,
95,Stravinsky,2,1.5,2,0.5,harp,bass,g,21.5,22,21.25,,,,
96,Stravinsky,2,2,2.5,0.5,harp,bass,c,22,22.5,22.5,,,,
97,Stravinsky,2,2.5,3,0.5,harp,bass,bflat,22.5,23,23.75,,,,
98,Stravinsky,2,3,3.5,0.5,harp,bass,a,23,23.5,25,,,,
99,Stravinsky,2,3.5,4,0.5,harp,bass,f,23.5,24,26.25,,,,
100,Stravinsky,2,4.5,5,0.5,harp,bass,e,24.5,25,28.75,,,,
101,Stravinsky,3,1,1.5,0.5,harp,bass,a,31,31.5,30,,,,
102,Stravinsky,3,1.5,2,0.5,harp,bass,a,31.5,32,31.25,,,,
103,Stravinsky,3,2,2.5,0.5,harp,bass,g,32,32.5,32.5,,,,
104,Stravinsky,3,2.5,3,0.5,harp,bass,f,32.5,33,33.75,,,,
105,Stravinsky,3,3,3.5,0.5,harp,bass,e,33,33.5,35,,,,
106,Stravinsky,3,3.5,4,0.5,harp,bass,c,33.5,34,36.25,,,,
107,Stravinsky,3,4,4.5,0.5,harp,bass,d,34,34.5,37.5,,,,
108,Stravinsky,3,4.5,5,0.5,harp,bass,b,34.5,35,38.75,,,,
109,Stravinsky,4,1,1.5,0.5,harp,bass,c,41,41.5,40,,,,
110,Stravinsky,4,1.5,2,0.5,harp,bass,d,41.5,42,41.25,,,,
111,Stravinsky,4,2,2.5,0.5,harp,bass,e,42,42.5,42.5,,,,
112,Stravinsky,4,2.5,3,0.5,harp,bass,c,42.5,43,43.75,,,,
113,Stravinsky,4,3,3.5,0.5,harp,bass,a,43,43.5,45,,,,
114,Stravinsky,4,3.5,4,0.5,harp,bass,b,43.5,44,46.25,,,,
115,Stravinsky,4,4,4.5,0.5,harp,bass,c,44,44.5,47.5,,,,
116,Stravinsky,4,4.5,5,0.5,harp,bass,a,44.5,45,48.75,,,,
117,Stravinsky,1,1.5,2,0.5,viole,bass,c,11.5,12,11.25,,,,
118,Stravinsky,1,2,2.5,0.5,viole,bass,e,12,12.5,12.5,,,,
119,Stravinsky,1,2.5,3,0.5,viole,bass,c,12.5,13,13.75,,,,
